	USD
0	27.0
1	26.9
2	27.23
3	27.73
4	28.44
5	28.85
6	28.65
7	28.57
8	28.57
9	28.57
10	28.52
11	28.51
12	28.44
13	28.44
14	28.49
15	28.55
16	28.55
17	28.55
18	28.55
19	28.55
20	28.64
21	28.77
22	28.77
23	28.76
24	28.72
25	28.69
26	28.66
27	28.77
28	28.77
29	28.72
30	28.71
31	28.79
32	28.74
33	28.74
34	28.87
35	28.83
36	28.8
37	28.7
38	28.66
39	28.65
40	28.64
41	28.6
42	28.59
43	28.58
44	28.55
45	28.53
46	28.51
47	28.5
48	28.49
49	28.46
50	28.43
51	28.41
52	28.39
53	28.38
54	28.36
55	28.34
56	28.33
57	28.31
58	28.29
59	28.27
60	28.46
61	28.6
62	28.78
63	28.76
64	28.72
65	28.68
66	28.66
67	28.63
68	28.59
69	28.56
70	28.53
71	28.5
72	28.6
73	28.78
74	28.62
75	28.59
76	28.55
77	28.53
78	28.53
79	28.46
80	28.43
81	28.4
82	28.38
83	28.36
84	28.36
85	28.36
86	28.34
87	28.32
88	28.3
89	28.28
90	28.27
91	28.27
92	28.33
93	28.31
94	28.3
95	28.29
96	28.28
97	28.28
98	28.27
99	28.27
100	28.25
101	28.23
102	28.25
103	28.34
104	28.34
105	28.32
106	28.3
107	28.27
108	28.25
109	28.43
110	28.33
111	28.29
112	28.26
113	28.24
114	28.23
115	28.22
116	28.19
117	28.17
118	28.13
119	28.11
120	28.09
121	28.07
122	28.05
123	28.03
124	28.03
125	28.03
126	28.01
127	27.99
128	27.97
129	27.92
130	27.9
131	27.87
132	27.85
133	27.83
134	27.81
135	27.75
136	27.66
137	27.64
138	27.64
139	27.64
140	27.64
141	27.7
142	27.8
143	27.82
144	27.85
145	27.83
146	27.8
147	27.77
148	27.73
149	27.73
150	27.7
151	27.7
152	27.69
153	27.69
154	27.74
155	27.73
156	27.73
157	27.73
158	27.71
159	27.71
160	27.71
161	27.7
162	27.7
163	27.7
164	27.75
165	27.75
166	27.75
167	27.75
168	27.75
169	27.84
170	27.88
171	27.84
172	27.86
173	27.84
174	27.82
175	27.82
176	27.78
177	27.73
178	27.73
179	27.77
180	27.82
181	27.82
182	27.79
183	27.85
184	27.82
185	27.81
186	27.75
187	27.75
188	27.76
189	27.76
190	27.81
191	27.86
192	27.88
193	27.88
194	27.94
195	27.86
196	27.91
197	27.9
198	27.83
199	27.8
200	27.87
201	27.93
202	27.93
203	27.93
204	27.91
205	27.87
206	27.92
207	27.89
208	27.83
209	27.82
210	27.86
211	27.84
212	27.81
213	27.81
214	27.79
215	27.72
216	27.78
217	27.77
218	27.7
219	27.67
220	27.76
221	27.81
222	27.83
223	27.83
224	27.85
225	27.85
226	27.88
227	27.86
228	27.86
229	27.85
230	27.89
231	27.89
232	27.91
233	27.95
234	27.93
235	27.93
236	27.95
237	27.95
238	27.97
239	27.92
240	27.97
241	27.95
242	27.95
243	27.96
244	27.96
245	27.97
246	27.97
247	28.07
248	28.16
249	28.16
250	28.16
251	28.16
252	28.48
253	28.43
254	28.39
255	28.38
256	28.39
257	28.35
258	28.35
259	28.32
260	28.39
261	28.36
262	28.34
263	28.37
264	28.39
265	28.39
266	28.4
267	28.36
268	28.36
269	28.37
270	28.4
271	28.44
272	28.45
273	28.44
274	28.45
275	28.47
276	28.5
277	28.59
278	28.68
279	28.68
280	28.67
281	28.68
282	28.66
283	28.66
284	28.69
285	28.65
286	28.61
287	28.68
288	28.76
289	28.72
290	28.62
291	28.62
292	28.65
293	28.66
294	28.63
295	28.62
296	28.62
297	28.67
298	28.65
299	28.66
300	28.66
301	28.66
302	28.65
303	28.62
304	28.65
305	28.76
306	28.76
307	28.76
308	28.73
309	28.76
310	28.76
311	28.74
312	28.77
313	28.86
314	28.86
315	28.86
316	28.86
317	28.84
318	28.79
319	28.87
320	28.86
321	28.82
322	28.85
323	28.86
324	28.87
325	28.9
326	28.88
327	28.84
328	28.85
329	28.9
330	28.86
331	28.83
332	28.83
333	28.88
334	28.96
335	28.96
336	28.96
337	28.95
338	28.96
339	28.99
340	29.04
341	29.02
342	29.07
343	29.09
344	29.09
345	29.08
346	29.07
347	29.08
348	29.07
349	29.07
350	29.1
351	29.09
352	29.14
353	29.15
354	29.16
355	29.16
356	29.16
357	29.16
358	29.13
359	29.13
360	29.12
361	29.08
362	29.07
363	29.05
364	29.09
365	29.14
366	29.08
367	29.1
368	29.1
369	29.09
370	29.12
371	29.11
372	29.07
373	29.16
374	29.18
375	29.18
376	29.17
377	29.17
378	29.22
379	29.23
380	29.2
381	29.21
382	29.2
383	29.23
384	29.21
385	29.24
386	29.27
387	29.28
388	29.25
389	29.28
390	29.25
391	29.23
